epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8051,0.59197,3.03705,1.11203,0.00912,1,0.32086,0.2746,0.50637,3.16196,0.98736,0.0003375,0.0003375,0.0003375
2,32.3748,0.63912,2.32355,1.11987,0.57793,0.38318,0.50281,0.37989,0.56735,2.90247,1.03264,0.000685231,0.000685231,0.000685231
3,41.5455,0.65317,1.91887,1.11868,0.4381,0.45601,0.49524,0.35765,0.80983,2.37449,1.39193,0.00103065,0.00103065,0.00103065
4,53.2783,0.64044,1.83308,1.11328,0.3143,0.38587,0.38059,0.29212,0.79618,2.46518,1.3032,0.00123763,0.00123763,0.00123763
5,65.5016,0.63354,1.57256,1.08289,0.48572,0.55509,0.51837,0.393,0.80505,2.17388,1.32457,0.0012335,0.0012335,0.0012335
6,74.8636,0.66065,1.53245,1.12791,0.53637,0.23541,0.33677,0.24266,0.86993,2.72258,1.3216,0.00122937,0.00122937,0.00122937
7,86.7243,0.6507,1.48335,1.09415,0.5398,0.64079,0.60134,0.47796,0.6939,1.85462,1.14607,0.00122525,0.00122525,0.00122525
8,97.7299,0.62309,1.4152,1.08846,0.70466,0.76931,0.81092,0.6745,0.61055,1.55898,1.07295,0.00122112,0.00122112,0.00122112
9,107.398,0.62402,1.32368,1.06844,0.7286,0.65098,0.75542,0.62356,0.7051,1.63055,1.18855,0.001217,0.001217,0.001217
10,119.347,0.63047,1.29797,1.0961,0.65477,0.54386,0.54446,0.42863,0.67637,2.81965,1.10422,0.00121287,0.00121287,0.00121287
11,130.265,0.60438,1.21198,1.07846,0.85953,0.76023,0.87246,0.74104,0.54366,1.15474,1.04848,0.00120875,0.00120875,0.00120875
12,140.881,0.5629,1.13945,1.04061,0.70689,0.82646,0.82305,0.70879,0.54617,1.27747,1.03059,0.00120462,0.00120462,0.00120462
13,152.964,0.57465,1.12139,1.04937,0.69376,0.72681,0.79577,0.65469,0.56256,1.1951,1.0291,0.0012005,0.0012005,0.0012005
14,162.052,0.58032,1.13129,1.04987,0.65632,0.81684,0.81574,0.71097,0.53293,1.13787,1.01147,0.00119637,0.00119637,0.00119637
15,173.539,0.5598,1.08798,1.0478,0.74509,0.82279,0.86501,0.73972,0.54997,0.99416,1.00554,0.00119225,0.00119225,0.00119225
16,185.506,0.55194,0.99336,1.03759,0.75295,0.77659,0.84607,0.7346,0.56133,1.13256,1.04408,0.00118812,0.00118812,0.00118812
17,194.493,0.61515,1.05566,1.09247,0.8647,0.6634,0.82787,0.73501,0.54103,1.04228,1.00953,0.001184,0.001184,0.001184
18,206.67,0.57986,0.96307,1.0543,0.90197,0.79473,0.87671,0.75232,0.53164,0.88951,1.0098,0.00117988,0.00117988,0.00117988
19,216.985,0.54653,0.99062,1.04039,0.8628,0.76206,0.88632,0.79461,0.47275,0.96248,0.94216,0.00117575,0.00117575,0.00117575
20,227.687,0.54396,0.92866,1.0315,0.85317,0.84257,0.90932,0.79856,0.46976,0.97233,0.97772,0.00117163,0.00117163,0.00117163
21,239.683,0.53591,0.91835,1.02957,0.82825,0.78481,0.84938,0.72009,0.53693,0.96362,0.98809,0.0011675,0.0011675,0.0011675
22,249.16,0.5468,0.91352,1.04981,0.80228,0.72612,0.85727,0.73563,0.4942,1.24824,0.97227,0.00116337,0.00116337,0.00116337
23,260.907,0.53451,0.83321,1.02388,0.81832,0.89295,0.90669,0.81545,0.47302,0.86527,0.96398,0.00115925,0.00115925,0.00115925
24,273.434,0.54552,0.87849,1.05475,0.88916,0.7983,0.88497,0.78706,0.52084,0.85376,1.0067,0.00115513,0.00115513,0.00115513
25,282.305,0.54196,0.91032,1.03103,0.73922,0.63906,0.74268,0.54058,0.80179,1.43342,1.3573,0.001151,0.001151,0.001151
26,293.907,0.5189,0.82315,1.02773,0.8883,0.86363,0.95497,0.86179,0.44942,0.62462,0.93494,0.00114688,0.00114688,0.00114688
27,305.056,0.54977,0.92583,1.0436,0.91042,0.80109,0.91256,0.77593,0.50688,0.76428,1.00185,0.00114275,0.00114275,0.00114275
28,314.316,0.52901,0.77718,1.02966,0.86543,0.92817,0.94788,0.84269,0.43194,0.80973,0.92812,0.00113863,0.00113863,0.00113863
29,326.585,0.50833,0.81681,1.01977,0.88732,0.91206,0.94802,0.85119,0.43865,0.58896,0.91806,0.0011345,0.0011345,0.0011345
30,336.846,0.51107,0.80712,1.02759,0.8487,0.90041,0.93634,0.85097,0.45161,0.63486,0.94151,0.00113038,0.00113038,0.00113038
31,347.428,0.51379,0.8259,1.01373,0.88167,0.89568,0.96008,0.86771,0.45234,0.68393,0.9387,0.00112625,0.00112625,0.00112625
32,359.91,0.51496,0.75318,1.00203,0.92096,0.83668,0.93757,0.83863,0.46239,0.60408,0.94776,0.00112213,0.00112213,0.00112213
33,369.215,0.52877,0.77291,1.03632,0.90192,0.91167,0.96168,0.8762,0.4239,0.57614,0.91445,0.001118,0.001118,0.001118
34,380.47,0.50294,0.75133,1.01896,0.80658,0.82605,0.89674,0.80523,0.44683,0.92202,0.93897,0.00111388,0.00111388,0.00111388
35,392.771,0.50538,0.7274,1.00279,0.89766,0.88068,0.93811,0.85137,0.46437,0.70075,0.9274,0.00110975,0.00110975,0.00110975
36,402.019,0.49375,0.69516,1.01282,0.87277,0.91305,0.9613,0.87833,0.41316,0.61278,0.89886,0.00110563,0.00110563,0.00110563
37,413.295,0.51028,0.7206,1.02502,0.87185,0.83804,0.93782,0.82201,0.47733,0.79251,0.94827,0.0011015,0.0011015,0.0011015
38,425.115,0.5029,0.75963,1.01253,0.70439,0.89256,0.86672,0.78821,0.45003,0.71543,0.92287,0.00109738,0.00109738,0.00109738
